max_trim,max_sem,desv_sem,prom_bim,max_mes_anterior,prom_mes_anterior,prom_sem,max_bim,mejor_gestion,prom_trim,pc_cant_moras_30_ult_12_meses,desv_trim,nro_gestiones,desv_bim,pc_cant_moras_30_ult_3_meses,dh_cant_entradas,pc_tiem_1er_prod_abierto_total,pc_cant_moras_60_ult_12_meses,gestiones_eficaces,pc_transaccional,dh_max_dia_entradas,pc_cupo_entidad,pc_cuotas_como_ppal,dh_val_entradas,pc_cant_moras_90_ult_12_meses,dh_max_dia_salidas,pc_cant_moras_60_ult_3_meses,pc_cuota_tarjeta_de_credito,cp_inicial_menos_saldo,pc_peor_estado_act_cta_aho,dia_pago,cp_cuotas_falta,pcons_tarjeta_de_credito,pc_cifin,gestiones_prod,pcons_vehiculos_sufi,cluster_recod,dh_avg_dia_retiros_d,dmi_max_egreso_diario,cpc_max_proc_deuda,dh_cant_otros_d,pc_cont_30_lt_12m_tot_sf,pc_cant_mora90_ult_12m_total,dmi_max_ingreso_diario,dh_val_otros_d,pc_ingreso_final,dh_cant_pagos_d,dmi_ingreso_total_mes,dh_val_pagos_d,pc_gasto_familiar,pc_cuotas_pagadas,cpc_avg_proc_deuda,cpc_sum_proc_deuda,dc_porc_prod_sin_mora,pc_ingreso_rutina_con_techo,pc_saldo_prom3_tdc_entidad,dh_cant_salidas,dh_min_dia_pagos_d,pc_ingreso_por_rutina,dh_min_dia_pago_tarj_d,cp_nro_cuota,dmi_egreso_total_mes,cp_valor_inicial,dh_max_dia_otros_d,cp_cuota_sobre_saldo,dc_sum_valor_inicial,dh_cant_pago_tarj_d,dh_max_dia_pagos_d,cp_saldo_sobre_inicial,pc_mediana_nom3,cp_esta_cuota_otro,dh_max_dia_retiros_d,dh_avg_dia_entradas,dh_avg_dia_pagos_d,dh_val_salidas,dc_sum_valor_cuota,dh_min_dia_tras_d,cp_porc_valorcuot_ing,pc_ind_ajustado,dh_val_retiros_d,pc_tiem_lt_prod_abie_total,marca_info_cifin_decode,dh_max_dia_pago_tarj_d,dc_valobli_ing,pc_cantidad_tdc_entidad,dh_min_dia_otros_d,dc_cant_obligaciones,cpc_sum_nro_cuota,cpc_avg_nro_cuota,cpc_max_nro_cuota,cp_saldo,cp_cuota_sobre_inicial,cpc_sum_saldo,cp_porc_saldo_ing,gsm_mejor_gestion,dh_min_dia_nomina_c,dh_max_dia_nomina_c,cp_valor_cuota,cpc_nro_cuota_tdc,gsm_prom_dias_gest,pc_cuota_no_rot_ent,dh_val_nomina_c,banca_completa,cpc_saldo_sobre_ing,dh_min_dia_pago_cred_d,cpc_saldo_tdc,pc_cuota_de_consumo,dh_cant_tras_d,dh_max_dia_comisio_d,cpc_avg_saldo,dc_max_saldo_sf,dh_val_pago_tarj_d,pc_productos_no_rotativos_entidad,pc_saldo_no_rot_ent,pc_vi_no_rotativos_entidad,dh_min_dia_entradas,pcons_hipotecario_vivienda,gsm_mejor_gestion_3m,dh_avg_dia_salidas,llave,segmentoestructural,subsegmentoestructural,anhomes_ciclo
27,27,10.88883219939892,13.5,27,27,4.833333333333333,27,0,9,1,15.588457268119896,0,19.091883092036785,1,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3000000,0,0,0,765000,0,0,0,0,3000000,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606500,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,PYME,Pyme Pequena,201609
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45058566,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0,0,0,0,0,0,0,45058566,0,0,0,9574945.275,1458165.37295944,0,0,0,45058566,0,0,0,45058566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24540003.40683651,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,PYME,Pyme Pequena,201607
12,12,6,6,12,12,3,12,0,4,0,6.928203230275509,0,8.48528137423857,0,0,0,0,0,16504588,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16504588,0,0,0,3507224.9499999997,1840908.33,0,0,0,16504588,0,0,0,16504588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812689.868,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,PYME,Pyme Pequena,201607
16,16,6.985699678629192,8,0,0,6.6,16,0,5.333333333333333,3,9.237604307034012,0,11.313708498984761,2,6,0,2,0,15550000,14,0,0,7251000,1,14,2,0,0,0,15,0,0,0,0,0,6,9.75,7315525,1.0767072857142856,0,0,1,4330000,0,15550000,9,7251000,7097145,3304375,543636.0765,1.0767072857142856,1.0767072857142856,0,15550000,0,19,3,15550000,7,0,7941029,0,0,0,0,1,14,0,0,0,14,2.5357142857142856,2.232142857142857,7941029,0,14,0,8432540.03115,331634,0,2,7,0,0,0,0,43,43,43,0,0,7536951,0,0,0,0,0,43,0,0,0,0,0.26006524964632,3,7536951,0,1,14,7536951,0,473994,0,0,0,3,0,0,7.625,15,PYME,Pyme Pequena,201707
16,16,6.186005711819758,8,0,0,5.333333333333333,16,0,5.333333333333333,0,9.237604307034012,0,11.313708498984761,0,0,0,0,0,6001779.3517000005,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5101512.448945,0,0,0,1800533.80551,371119.1085,0,0,0,6001779.3517000005,0,0,0,6001779.3517000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948169.40083392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,PYME,Pyme Pequena,201610
16,16,6.462713568360172,2.5,5,5,6.833333333333333,5,0,7,0,8.18535277187245,0,3.5355339059327378,0,7,0,0,0,6001779.3517000005,24,0,0,32308082,0,31,0,0,0,0,15,0,0,0,0,0,6,15.5,17868233,0,9,0,0,21001000,1717430,5101512.448945,10,32308082,4627634,1800533.80551,371119.1085,0,0,0,6001779.3517000005,0,45,1,6001779.3517000005,3,0,32291175,0,24,0,0,2,31,0,0,0,31,3.2222222222222223,2.138888888888889,32291175,0,1,0,1948169.40083392,25018987,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,25,0,0,1150599,0,0,0,1,0,0,8.817901234567902,23,PYME,Pyme Pequena,201611
18,18,12.727922061357855,9,18,18,9,18,0,9,1,12.727922061357855,0,12.727922061357855,1,10,0,0,0,15247193.8950027,30,0,0,15685000,0,30,0,0,0,0,15,0,0,0,0,0,6,12.647058823529411,1912064,1.1271775714285714,0,0,0,6135000,0,15247193.8950027,10,15685000,3600516,3240028.70268807,543636.0765,1.1271775714285714,1.1271775714285714,0,15247193.8950027,0,30,1,15247193.8950027,2,0,7764699,0,0,0,0,1,29,0,0,0,30,5.4375,2.4444444444444446,7764699,0,3,0,8258805.0284078,4030933,0,0,2,0,0,0,0,41,41,41,0,0,7890243,0,0,0,0,0,41,0,0,0,0,0.2722557192643456,1,7890243,0,2,12,7890243,0,893232,0,0,0,1,0,0,6.025326797385621,30,PYME,Pyme Pequena,201705
35,35,11.77709641634983,30,35,35,17.5,35,0,24.666666666666668,3,10.503967504392488,0,7.0710678118654755,2,0,0,2,0,15550000,0,0,0,0,1,0,2,0,0,0,3,0,1,0,0,0,6,0,0,0,0,0,1,0,0,15550000,0,0,0,3304375,543636.0765,0,0,0,15550000,0,0,0,15550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8432540.03115,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,PYME,Pyme Pequena,201608
60,60,29.43920288775949,60,60,60,24.666666666666668,60,0,49.333333333333336,3,18.475208614068023,0,0,3,1,0,2,0,3417345.64533393,31,0,0,2000000,0,31,2,0,0,0,30,0,1,0,0,0,6,0,1999999,1.142414763758584,0,0,0,2000000,0,3417345.64533393,3,2000000,1977280,871423.139560152,1148880.3237,1.129997439108774,1.129997439108774,0,3417345.64533393,0,4,31,3417345.64533393,31,0,1999999,0,0,0,0,1,31,0,0,0,0,7.75,15.5,1999999,0,0,0,795996.301746319,0,0,0,31,0,0,0,0,90,30,30,0,0,146976506.91,0,0,31,31,0,60,0,0,2000000,0,11.654627460946791,31,5239392,0,0,31,48992168.97,0,1325914,0,0,0,31,0,0,23.25,39,PYME,Pyme Pequena,201706
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,3232726.27988989,30,0,0,52968407,0,27,0,0,0,0,3,0,1,0,0,0,7,16.571428571428573,9941482,0.9115588461538462,13,0,0,16200155,3198441,3232726.27988989,6,52968407,14865608,824345.201371922,0,0.9115588461538462,0.9115588461538462,0,3232726.27988989,0,67,3,3232726.27988989,0,0,58012977,0,27,0,0,0,25,0,0,0,27,4.106209150326797,2.566666666666667,58012977,0,7,0,1731124.92288103,34665528,0,0,0,0,0,1,0,67,33.5,51,0,0,11850265,0,0,0,0,0,67,0,0,0,0,0.37013571339330337,17,11850265,0,2,27,5925132.5,0,0,0,0,0,1,0,0,8.387809523809523,45,PYME,Pyme Pequena,201705
