"n","x1","x2","y1","y2"
"1",191,155,179,145
"2",195,149,201,152
"3",181,148,185,149
"4",183,153,188,149
"5",176,144,171,142
"6",208,157,19,152
"7",189,150,190,149
"8",197,159,189,152
"9",188,152,197,159
"10",192,150,187,151
"11",186,161,179,158
"12",179,147,183,147
"13",195,153,174,150
"14",202,160,190,159
"15",194,154,188,151
"16",163,137,161,130
"17",195,155,183,158
"18",186,153,173,148
"19",181,145,182,146
"20",175,140,165,137
"21",192,154,185,152
"22",174,143,178,147
"23",176,139,176,143
"24",197,167,200,158
"25",190,153,187,150
